what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1637609853046
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1637609853048
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1637609853049
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1637609853050
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1637609853051
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1637609853052
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1637609853052
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1637609853053
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1637609853055
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1637609853056
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1637609853058
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1637609853067
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1637609853068
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1637609853068
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1637609853069
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1637609853069
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1637609853070
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1637609853070
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1637609853070
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1637609853071
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1637609853071
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1637609853072
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1637609853072
os,sysinfo,,,"win32",1637609853076
arch,sysinfo,,,"x86_64",1637609853076
ws,sysinfo,,,"win32",1637609853076
locale,sysinfo,,,"fr_FR",1637609853076
processors,sysinfo,,,"4",1637609853076
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1637609853076
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1637609853076
java.specification.name,sysinfo,,,"Java Platform API Specification",1637609853076
java.specification.vendor,sysinfo,,,"Oracle Corporation",1637609853076
java.specification.version,sysinfo,,,"1.8",1637609853076
java.vendor,sysinfo,,,"Oracle Corporation",1637609853076
java.version,sysinfo,,,"1.8.0_191",1637609853076
java.vm.info,sysinfo,,,"mixed mode",1637609853076
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1637609853076
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1637609853076
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1637609853076
java.vm.specification.version,sysinfo,,,"1.8",1637609853076
java.vm.vendor,sysinfo,,,"Oracle Corporation",1637609853076
java.vm.version,sysinfo,,,"25.191-b12",1637609853076
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637609906991
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637609907140
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637609908683
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637609908802
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637609915014
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637609915105
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637609922037
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637610030086
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637610032986
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637610033066
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637610034120
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637610034210
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1637610034272
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637610039397
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1637610039732
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637610043572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637610044412
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1637610048002
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1637610048132
