what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402281493
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1636402286685
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1636402287974
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1636402294415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402296454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402304752
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402321320
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636402323271
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402326164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402525622
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636402527921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402537461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402555939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402646371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402716901
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402723590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402897371
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402910657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402941239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402947655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636402954324
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636403074832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636403077344
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636403105065
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1636403250355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636403273803
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636403275849
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1636403279056
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1636403279362
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636403335297
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636403339021
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636403795504
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636403865720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636403867432
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636403870211
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636403870335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636403877725
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636403892074
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636403893453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636403963884
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636403972135
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636404042616
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636404052484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636404052563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636404137966
