what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637406161264
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1637406161300
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637406202583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637406207950
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637406226666
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1637406226690
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637406239984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410045092
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1637410052478
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637410054523
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410135881
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410173913
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410180788
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410199269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410199987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410205072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410263448
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410268533
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410269037
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410358118
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1637410365494
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410417676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410429612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410433425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410435980
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410441014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410457129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410463806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410471247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410478282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410489795
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410494335
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637410495552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410502182
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410508188
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410522415
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410526549
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637410527797
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410530246
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637410530402
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637410530449
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410532446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410551056
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410603098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410627294
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637410630102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410634657
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637410647745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410651474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410653471
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410665670
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410674858
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637410686745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410692377
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637410692455
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637410692533
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410700832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410711222
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637410715543
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410721331
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410791126
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637410797663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410800720
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637410801750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410803715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410806383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410807444
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637410815244
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1637410827443
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637410832747
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1637410839705
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637410862980
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1637410864088
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410865632
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410912806
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637410914834
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410917533
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410922884
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637410923009
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637410923056
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410927783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410933227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637410942993
