what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636801683419
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636801765225
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636801766879
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636801851556
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636801938440
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1636801940297
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636801977050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636801980701
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1636801980716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636801987253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636801990310
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636801996145
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636801996800
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636801997970
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1636801999280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636802001027
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636802003274
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636802003305
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636802003336
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636802003399
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1636802003399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636802006737
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1636802008484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636802010731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636802023928
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636802033304
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636802037734
