what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637429422171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637429425372
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637429476909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637429538435
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637429539084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637430054051
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637430056838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637430060339
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637430061610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637430064641
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637430064735
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637430064835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637430073677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431638324
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637431642890
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637431654384
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1637431656223
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431661528
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431661639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1637431665815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431669483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431669554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431684592
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431701854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431706407
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431716741
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1637431730305
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1637431731816
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1637431740156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431763634
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431771607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431773164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431777414
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431781108
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431787072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431793757
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431796842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431799955
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431801356
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1637431831368
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637431832599
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1637431840909
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637431843660
