what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225320608
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1639225328424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225332028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225340218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225344211
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225351715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1639225353041
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1639225364460
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1639225388375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225389982
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225407610
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1639225409404
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225410589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225413538
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1639225417890
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1639225430417
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225434379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225436376
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225436532
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1639225436782
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1639225437343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225442367
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1639225447717
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1639225454753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225534734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225542722
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1639225542753
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1639225585325
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225592735
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1639225594420
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1639225628444
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1639225640341
