what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229620455
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229837025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229838151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229841626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229846876
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229855794
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229856024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229858872
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637229859001
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637229859080
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229860286
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229876207
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1637229877866
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1637229878127
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1637229878312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229878499
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229880240
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229883001
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229884358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229891505
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229943684
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637229943723
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637229946126
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229946153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229947266
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637229947393
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637229947488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229948867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229958628
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637229958647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637229961584
