what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1637671826740
ws,sysinfo,,,"win32",1637671826740
locale,sysinfo,,,"fr_FR",1637671826740
processors,sysinfo,,,"4",1637671826740
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1637671826740
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1637671826740
java.specification.name,sysinfo,,,"Java Platform API Specification",1637671826740
java.specification.vendor,sysinfo,,,"Oracle Corporation",1637671826740
java.specification.version,sysinfo,,,"1.8",1637671826740
java.vendor,sysinfo,,,"Oracle Corporation",1637671826740
java.version,sysinfo,,,"1.8.0_191",1637671826740
java.vm.info,sysinfo,,,"mixed mode",1637671826740
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1637671826740
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1637671826740
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1637671826740
java.vm.specification.version,sysinfo,,,"1.8",1637671826740
java.vm.vendor,sysinfo,,,"Oracle Corporation",1637671826740
java.vm.version,sysinfo,,,"25.191-b12",1637671826740
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1637671827774
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637671828450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672661166
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672663164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672663373
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637672668006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672689377
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672690707
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672690721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672691076
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672692407
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672747932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672755985
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672768545
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672768841
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672773906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672777572
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672789263
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672804165
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637672804393
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637672807963
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637672808079
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637672811246
