what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1638469239371
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1638469239372
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1638469239373
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1638469239411
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1638469239412
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1638469239448
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1638469239449
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1638469239449
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1638469239450
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1638469239451
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1638469239504
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1638469239512
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1638469239512
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1638469239513
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1638469239545
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1638469239547
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1638469239547
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1638469239577
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1638469239578
os,sysinfo,,,"win32",1638469239582
arch,sysinfo,,,"x86_64",1638469239582
ws,sysinfo,,,"win32",1638469239582
locale,sysinfo,,,"fr_FR",1638469239582
processors,sysinfo,,,"4",1638469239582
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1638469239582
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1638469239582
java.specification.name,sysinfo,,,"Java Platform API Specification",1638469239582
java.specification.vendor,sysinfo,,,"Oracle Corporation",1638469239582
java.specification.version,sysinfo,,,"1.8",1638469239582
java.vendor,sysinfo,,,"Oracle Corporation",1638469239582
java.version,sysinfo,,,"1.8.0_191",1638469239582
java.vm.info,sysinfo,,,"mixed mode",1638469239582
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1638469239582
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1638469239582
