what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805174419
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805174871
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805178397
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805183186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805202202
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805342353
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1636805427919
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805429588
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805470757
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805478136
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805481037
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1636805514265
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805516262
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805529569
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805533718
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805557087
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805567165
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805569583
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805594122
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805601766
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1636805606352
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805611828
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805616211
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805618442
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805621375
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805636429
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805649346
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805665024
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805665976
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805680390
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1636805685054
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1636805712807
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805724132
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805729358
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805740668
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1636805743820
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805746331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805747907
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805757064
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805759014
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805760340
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805769622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805771151
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805771463
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805782087
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1636805784395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805791478
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805793225
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805860055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805898744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805927089
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805927916
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805929647
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805944670
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636805946807
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805949802
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636805983062
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636805993046
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806000190
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1636806100124
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1636806100233
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806139686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806154537
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806156362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1636806161230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806163460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806164818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806164896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806166705
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1636806173806
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806176411
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806186161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806187253
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806187659
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806195709
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1636806245520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636806249123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806260464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806262009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806267035
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806293976
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1636806297393
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1636806336283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806339622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806349091
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636806357593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806359434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806360947
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1636806411142
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806412656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806413716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806418680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806475152
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806480519
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806482391
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806487632
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806487632
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1636806502203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806505370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806506914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806507054
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806508427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1636806560753
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1636806563732
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1636806579660
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806581501
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1636806589051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806592889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806655476
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806864020
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1636806869699
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806874800
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806874862
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806883161
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806883161
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806886937
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1636806896203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806954173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636806955421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636807007650
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636807068771
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636807068911
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636807071781
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1636807072031
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1636807072281
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1636807072296
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1636807072359
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1636807072374
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1636807072390
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1636807072390
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1636807072390
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1636807072390
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1636919847960
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1636919847962
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1636919847964
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1636919848011
