what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684407311
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684409943
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684414959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684419206
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684427746
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684429135
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684430594
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684434078
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1637684437227
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637684442855
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684448938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684453166
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684455689
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684463705
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684469385
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684473328
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684475301
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1637684476399
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684478801
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684480636
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684481113
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684504023
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684505119
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1637684511686
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684522608
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684526669
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684528653
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684533477
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684535824
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684536910
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684538282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684542143
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684588003
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684597362
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684600368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684602229
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1637684611260
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684613794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684615493
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684628417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684628671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684630518
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684630739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684632004
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684632183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684632863
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684633058
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1637684640196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684642117
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684643295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1637684646181
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1637684647398
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1637684648055
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1637684648615
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1637684649149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1637684650570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684654081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684656754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684665683
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684666878
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684667009
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637684667929
