what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1637001588485
locale,sysinfo,,,"fr_FR",1637001588485
processors,sysinfo,,,"4",1637001588485
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1637001588485
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1637001588485
java.specification.name,sysinfo,,,"Java Platform API Specification",1637001588485
java.specification.vendor,sysinfo,,,"Oracle Corporation",1637001588485
java.specification.version,sysinfo,,,"1.8",1637001588485
java.vendor,sysinfo,,,"Oracle Corporation",1637001588485
java.version,sysinfo,,,"1.8.0_191",1637001588485
java.vm.info,sysinfo,,,"mixed mode",1637001588485
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1637001588485
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1637001588485
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1637001588485
java.vm.specification.version,sysinfo,,,"1.8",1637001588485
java.vm.vendor,sysinfo,,,"Oracle Corporation",1637001588485
java.vm.version,sysinfo,,,"25.191-b12",1637001588485
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637001623231
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637001623376
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637001646838
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637001646931
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1637001648516
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1637001649025
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1637001649219
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637001657412
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637001694391
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637001738854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637001745247
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637002405185
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637002405873
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637002429781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637002430430
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637007151146
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637007165383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637009736282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637009739196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637009752090
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637052888770
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637052891072
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071775595
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637071779214
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1637071786872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071789775
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637071801099
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071805119
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071809298
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071822478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071827551
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1637071829181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071838663
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637071838955
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1637071839036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071842570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071889564
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071896056
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071984886
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1637071990329
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637071998300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637093326570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637093329075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637093330597
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1637093330784
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1637093331681
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1637093331681
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1637093331697
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1637093331728
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1637176739441
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1637176739442
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1637176739443
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1637176739444
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1637176739444
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1637176739460
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1637176739460
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1637176739461
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1637176739494
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1637176739495
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1637176739496
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1637176739496
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1637176739497
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1637176739498
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1637176739514
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1637176739515
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1637176739516
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1637176739516
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1637176739517
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1637176739517
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1637176739518
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1637176739518
